symbol,date
SUPERUSDT,2025-11-22
SUSDC,2025-11-22
SUSDT,2025-11-22
SUSHIUSDT,2025-11-22
SXPUSDT,2025-11-22
SXTUSDT,2025-11-22
SYNUSDT,2025-11-22
SYRUPUSDC,2025-11-22
SYRUPUSDT,2025-11-22
TAOUSDC,2025-11-22
TAOUSDT,2025-11-22
TFUELUSDT,2025-11-22
THETAUSDC,2025-11-22
THETAUSDT,2025-11-22
THEUSDT,2025-11-22
TIAUSDC,2025-11-22
TIAUSDT,2025-11-22
TKOUSDT,2025-11-22
TLMUSDT,2025-11-22
TNSRUSDC,2025-11-22
TNSRUSDT,2025-11-22
TONUSDC,2025-11-22
TONUSDT,2025-11-22
TOWNSUSDT,2025-11-22
TRBUSDC,2025-11-22
TRBUSDT,2025-11-22
TREEUSDC,2025-11-22
TREEUSDT,2025-11-22
TRUMPUSDC,2025-11-22
TRUMPUSDT,2025-11-22
TRUUSDT,2025-11-22
TRXUSDC,2025-11-22
TRXUSDT,2025-11-22
TSTUSDT,2025-11-22
TURBOUSDC,2025-11-22
TURBOUSDT,2025-11-22
TURTLEUSDC,2025-11-22
TURTLEUSDT,2025-11-22
TUSDT,2025-11-22
TUSDUSDT,2025-11-22
TUTUSDT,2025-11-22
TWTUSDC,2025-11-22
TWTUSDT,2025-11-22
UMAUSDT,2025-11-22
UNIUSDC,2025-11-22
UNIUSDT,2025-11-22
USD1USDT,2025-11-22
USDCUSDT,2025-11-22
USDEUSDC,2025-11-22
USDEUSDT,2025-11-22
USDTUSD,2025-11-22
USTCUSDT,2025-11-22
USUALUSDT,2025-11-22
UTKUSDT,2025-11-22
VANAUSDT,2025-11-22
VANRYUSDT,2025-11-22
VELODROMEUSDT,2025-11-22
VETUSDC,2025-11-22
VETUSDT,2025-11-22
VICUSDT,2025-11-22
VIRTUALUSDC,2025-11-22
VIRTUALUSDT,2025-11-22
VOXELUSDT,2025-11-22
VTHOUSDT,2025-11-22
WALUSDC,2025-11-22
WALUSDT,2025-11-22
WAXPUSDT,2025-11-22
WBETHUSDT,2025-11-22
WBTCUSDT,2025-11-22
WCTUSDC,2025-11-22
WCTUSDT,2025-11-22
WIFUSDC,2025-11-22
WIFUSDT,2025-11-22
WINUSDT,2025-11-22
WLDUSDC,2025-11-22
WLDUSDT,2025-11-22
WLFIUSDC,2025-11-22
WLFIUSDT,2025-11-22
WOOUSDT,2025-11-22
WUSDT,2025-11-22
XAIUSDC,2025-11-22
XAIUSDT,2025-11-22
XECUSDT,2025-11-22
XLMUSDC,2025-11-22
XLMUSDT,2025-11-22
XNOUSDT,2025-11-22
XPLUSDC,2025-11-22
XPLUSDT,2025-11-22
XRPUSDC,2025-11-22
XRPUSDT,2025-11-22
XTZUSDC,2025-11-22
XTZUSDT,2025-11-22
XUSDUSDT,2025-11-22
XVGUSDT,2025-11-22
XVSUSDT,2025-11-22
YBUSDC,2025-11-22
YBUSDT,2025-11-22
YFIUSDT,2025-11-22
YGGUSDC,2025-11-22
YGGUSDT,2025-11-22
ZBTUSDC,2025-11-22
ZBTUSDT,2025-11-22
ZECUSDC,2025-11-22
ZECUSDT,2025-11-22
ZENUSDC,2025-11-22
ZENUSDT,2025-11-22
ZILUSDT,2025-11-22
ZKCUSDC,2025-11-22
ZKCUSDT,2025-11-22
ZKUSDC,2025-11-22
ZKUSDT,2025-11-22
ZROUSDT,2025-11-22
ZRXUSDT,2025-11-22
